Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,QBV Maths,QB Serial Number,SET NUMBER,Roll Number,Group,Test No,Center No
 ,D,B, , , ,D,B, ,D,C, ,C, ,A,B,B, ,D, , , , , , , , , , ,D, ,AE,2,914507,NP,T10014,T004
 , ,B, ,B,C,A,B,A,D, ,D,C,C,A,B,D,D,C,B,C,B, , , ,B, , ,B,C, ,AE,2,914527,NP,T10014,T004
B,A,B,A,B,A,D,D, , , ,A, ,C,B,A,D,C,C,B,C, , ,A, ,B,D, , ,C, ,AE,2,914519,NP,T10014,T004
C,B,B,A,B,A,D,D,B,B,D,A,B,C,B,A,D,C,C,B,C, , ,A, ,B,D, ,B,C, ,AE,2,914515,NP,T10014,T004
A,C,D,A,C,A,B,B,B,C,C, ,D,D, ,B, , , , , , , ,B, ,D,C, ,D,C, ,AE,2,914513,NP,T10014,T004
